Date,Daily Active Users
"Apr 16, 2025",3
"Apr 17, 2025",19
"Apr 18, 2025",92
"Apr 19, 2025",66
"Apr 20, 2025",64
"Apr 21, 2025",87
"Apr 22, 2025",177
"Apr 23, 2025",203
"Apr 24, 2025",299
"Apr 25, 2025",247
"Apr 26, 2025",813
"Apr 27, 2025",370
"Apr 28, 2025",224
"Apr 29, 2025",12419
"Apr 30, 2025",576
"May 1, 2025",753
"May 2, 2025",346
"May 3, 2025",175
"May 4, 2025",176
"May 5, 2025",205
"May 6, 2025",221
"May 7, 2025",335
"May 8, 2025",302
"May 9, 2025",301
"May 10, 2025",239
"May 11, 2025",236
"May 12, 2025",222
"May 13, 2025",221
"May 14, 2025",232
"May 15, 2025",257
"May 16, 2025",190
"May 17, 2025",163
"May 18, 2025",161
"May 19, 2025",176
"May 20, 2025",227
"May 21, 2025",20890
"May 22, 2025",329
"May 23, 2025",241
"May 24, 2025",289
"May 25, 2025",267
"May 26, 2025",252
"May 27, 2025",230
"May 28, 2025",294
"May 29, 2025",16124
"May 30, 2025",16090
"May 31, 2025",16062
"Jun 1, 2025",16080
"Jun 2, 2025",16111
"Jun 3, 2025",16182
"Jun 4, 2025",16259
"Jun 5, 2025",632
"Jun 6, 2025",396
"Jun 7, 2025",404
"Jun 8, 2025",680
"Jun 9, 2025",10913
"Jun 10, 2025",687
"Jun 11, 2025",677
"Jun 12, 2025",497
"Jun 13, 2025",495
"Jun 14, 2025",467
"Jun 15, 2025",438
"Jun 16, 2025",475
"Jun 17, 2025",431
"Jun 18, 2025",667
"Jun 19, 2025",490
"Jun 20, 2025",475
"Jun 21, 2025",436
"Jun 22, 2025",468
"Jun 23, 2025",548
"Jun 24, 2025",503
"Jun 25, 2025",630
"Jun 26, 2025",493
"Jun 27, 2025",868
"Jun 28, 2025",433
"Jun 29, 2025",477
"Jun 30, 2025",552
"Jul 1, 2025",508
"Jul 2, 2025",644
"Jul 3, 2025",1006
"Jul 4, 2025",496
"Jul 5, 2025",458
"Jul 6, 2025",451
"Jul 7, 2025",488
"Jul 8, 2025",495
"Jul 9, 2025",416
"Jul 10, 2025",495
"Jul 11, 2025",662
"Jul 12, 2025",456
"Jul 13, 2025",472
"Jul 14, 2025",490
"Jul 15, 2025",540
"Jul 16, 2025",694
"Jul 17, 2025",462
"Jul 18, 2025",751
"Jul 19, 2025",843
"Jul 20, 2025",772
"Jul 21, 2025",767
"Jul 22, 2025",772
"Jul 23, 2025",901
"Jul 24, 2025",694
"Jul 25, 2025",698
"Jul 26, 2025",574
"Jul 27, 2025",521
"Jul 28, 2025",559
"Jul 29, 2025",604
"Jul 30, 2025",990
"Jul 31, 2025",643
"Aug 1, 2025",625
"Aug 2, 2025",541
"Aug 3, 2025",643
"Aug 4, 2025",671
"Aug 5, 2025",1003
"Aug 6, 2025",910
